id,name,age,dob,height_cm,weight_kg,nationality,wage_eur,international_reputation,preferred_foot,attacking_crossing,attacking_finishing,attacking_heading_accuracy,attacking_short_passing,attacking_volleys
222492,L. Sané,25,11/1/1996,183,75,Germany,RM100000,2,Left,83,81,72,81,85
228702,F. de Jong,24,12/5/1997,180,74,Netherlands,RM190000,3,Right,75,63,66,90,69
207865,Marquinhos,27,14/5/1994,183,75,Brazil,RM115000,3,Right,68,33,84,82,31
220440,C. Lenglet,26,17/6/1995,186,81,France,RM190000,2,Left,55,39,83,78,37
223848,S. Milinković-Savić,26,27/2/1995,191,76,Serbia,RM94000,2,Right,64,80,86,85,74
232363,M. Škriniar,26,11/2/1995,188,80,Slovakia,RM130000,1,Right,40,42,82,73,40
202556,M. Depay,27,13/2/1994,176,78,Netherlands,RM115000,3,Right,83,83,65,81,74
212188,T. Werner,25,6/3/1996,180,76,Germany,RM135000,3,Right,69,88,78,78,86
231866,Rodri,25,22/6/1996,191,82,Spain,RM145000,2,Right,63,64,75,85,59
192563,B. Leno,29,4/3/1992,190,82,Germany,RM105000,3,Right,9,9,13,50,10
206113,S. Gnabry,25,14/7/1995,175,75,Germany,RM100000,3,Right,79,85,42,79,83
210243,Ricardo Pereira,27,6/10/1993,175,70,Portugal,RM120000,3,Right,82,63,65,83,59
192505,R. Lukaku,28,13/5/1993,191,94,Belgium,RM165000,3,Left,73,86,85,79,77
198706,Luis Alberto,28,28/9/1992,183,74,Spain,RM99000,2,Right,76,77,49,90,76
201399,M. Icardi,28,19/2/1993,181,75,Argentina,RM135000,3,Right,47,90,88,76,85
208670,H. Ziyech,28,19/3/1993,181,65,Morocco,RM140000,3,Left,88,73,53,86,74
164240,Thiago Silva,36,22/9/1984,183,79,Brazil,RM93000,4,Right,60,40,81,80,61
175943,D. Mertens,34,6/5/1987,169,61,Belgium,RM115000,3,Right,79,84,40,82,70
180206,M. Pjanić,31,2/4/1990,178,72,Bosnia Herzegovina,RM220000,3,Right,81,56,60,90,72
181291,G. Wijnaldum,30,11/11/1990,175,69,Netherlands,RM150000,3,Right,72,75,78,88,73
182493,D. Godín,35,16/2/1986,187,78,Uruguay,RM135000,3,Right,52,42,85,79,47
184087,T. Alderweireld,32,2/3/1989,186,81,Belgium,RM130000,3,Right,64,45,82,79,38
184344,L. Bonucci,34,1/5/1987,190,85,Italy,RM110000,3,Right,44,48,84,77,58
185122,P. Gulácsi,31,6/5/1990,191,86,Hungary,RM65000,2,Right,16,10,23,35,10
188350,M. Reus,32,31/5/1989,180,71,Germany,RM94000,4,Right,85,86,44,85,89
188377,K. Walker,31,28/5/1990,183,70,England,RM170000,3,Right,81,51,74,78,57
189509,Thiago,30,11/4/1991,174,70,Spain,RM150000,3,Right,78,68,54,89,84
189513,Parejo,32,16/4/1989,182,74,Spain,RM59000,2,Right,86,83,61,92,72
190460,C. Eriksen,29,14/2/1992,181,76,Denmark,RM155000,3,Right,86,77,52,90,80
191043,Alex Sandro,30,26/1/1991,180,80,Brazil,RM120000,3,Left,84,55,76,81,68
193747,Koke,29,8/1/1992,176,77,Spain,RM92000,3,Right,85,72,61,87,56
198219,L. Insigne,30,4/6/1991,163,59,Italy,RM120000,3,Right,83,75,59,83,74
204485,R. Mahrez,30,21/2/1991,179,67,Algeria,RM210000,3,Left,83,79,48,80,76
239085,E. Haaland,20,21/7/2000,194,88,Norway,RM56000,2,Left,46,87,67,74,82
